epoch,accuracy,loss,val_accuracy,val_loss
0,0.46747854351997375,1.204453468322754,0.5129683017730713,1.132123589515686
1,0.6603929996490479,0.8476911783218384,0.5821325778961182,1.031697392463684
2,0.7262662649154663,0.6999528408050537,0.5706051588058472,1.103763222694397
3,0.7796844840049744,0.5782960057258606,0.5475504398345947,1.190773606300354
4,0.8203709125518799,0.47493523359298706,0.5561959743499756,1.2364325523376465
5,0.8544146418571472,0.40713706612586975,0.5561959743499756,1.30293607711792
6,0.8688070774078369,0.33774563670158386,0.5850144028663635,1.4136602878570557
7,0.9089399576187134,0.25800949335098267,0.5706051588058472,1.5672729015350342
8,0.9316357374191284,0.21053549647331238,0.5677233338356018,1.6016247272491455
9,0.9352338910102844,0.1887187361717224,0.5878962278366089,1.7877953052520752
10,0.9396623373031616,0.1773679107427597,0.5619596838951111,1.8306108713150024
11,0.9474121332168579,0.1470613181591034,0.5677233338356018,1.9013147354125977
12,0.952117383480072,0.13431903719902039,0.5417867302894592,2.1163177490234375
13,0.9468585848808289,0.16063912212848663,0.579250693321228,1.9792088270187378
14,0.9709382653236389,0.10065659880638123,0.5850144028663635,2.201747179031372
15,0.9637420177459717,0.11459896713495255,0.5619596838951111,2.24967360496521
16,0.9609742760658264,0.12267795950174332,0.5821325778961182,2.0774130821228027
17,0.9582064747810364,0.11856923252344131,0.5878962278366089,2.16072678565979
18,0.9673401713371277,0.09468384087085724,0.5677233338356018,2.3505945205688477
19,0.9773041605949402,0.0716085210442543,0.5677233338356018,2.3016092777252197
20,0.9781345129013062,0.07103100419044495,0.5504322648048401,2.5302529335021973
21,0.9731525182723999,0.08252020925283432,0.5677233338356018,2.6684587001800537
22,0.9731525182723999,0.08542235940694809,0.5504322648048401,2.8418526649475098
23,0.9449211359024048,0.1587594747543335,0.579250693321228,2.29412841796875
24,0.9773041605949402,0.07321121543645859,0.5734870433807373,2.4395558834075928
